,Unnamed: 0,chunk,punctuation_mark,word_count,source_file
44,44,and the two quarrelled and fought all day long,. ,9,data/lang_violet.html
45,45,By his first wife the peasant had a daughter called Elsa,", ",11,data/lang_violet.html
46,46,a good quiet girl,", ",4,data/lang_violet.html
47,47,who only wanted to live in peace,", ",7,data/lang_violet.html
48,48,but this her stepmother would not allow,. ,7,data/lang_violet.html
49,49,She beat and cuffed the poor child from morning till night,", ",11,data/lang_violet.html
50,50,but as the stepmother had the whip-hand of her husband there was no remedy,. ,14,data/lang_violet.html
51,51,For two years Elsa suffered all this ill-treatment,", ",8,data/lang_violet.html
52,52,when one day she went out with the other village children to pluck strawberries,. ,14,data/lang_violet.html
53,53,Carelessly they wandered on,", ",4,data/lang_violet.html
54,54,till at last they reached the edge of the Tontlawald,", ",10,data/lang_violet.html
55,55,where the finest strawberries grew,", ",5,data/lang_violet.html
56,56,making the grass red with their colour,. ,7,data/lang_violet.html
57,57,The children flung themselves down on the ground,", ",8,data/lang_violet.html
58,58,and,", ",1,data/lang_violet.html
59,59,after eating as many as they wanted,", ",7,data/lang_violet.html
60,60,began to pile up their baskets,", ",6,data/lang_violet.html
61,61,when suddenly a cry arose from one of the older boys,: ,11,data/lang_violet.html
62,62,Run,", ",1,data/lang_violet.html
63,63,run as fast as you can,! ,6,data/lang_violet.html
64,64,We are in the Tontlawald,!,5,data/lang_violet.html
65,65,Quicker than lightning they sprang to their feet,", ",8,data/lang_violet.html
66,66,and rushed madly away,", ",4,data/lang_violet.html
67,67,all except Elsa,", ",3,data/lang_violet.html
68,68,who had strayed farther than the rest,", ",7,data/lang_violet.html
69,69,and had found a bed of the finest strawberries right under the trees,. ,13,data/lang_violet.html
70,70,Like the others,", ",3,data/lang_violet.html
71,71,she heard the boy's cry,", ",5,data/lang_violet.html
72,72,but could not make up her mind to leave the strawberries,. ,11,data/lang_violet.html
73,73,After all,", ",2,data/lang_violet.html
74,74,what does it matter,?,4,data/lang_violet.html
75,75,thought she,. ,2,data/lang_violet.html
76,76,The dwellers in the Tontlawald cannot be worse than my stepmother',; ,11,data/lang_violet.html
77,77,and looking up she saw a little black dog with a silver bell on its neck come barking towards her,", ",20,data/lang_violet.html
78,78,followed by a maiden clad all in silk,. ,8,data/lang_violet.html
79,79,Be quiet,",",2,data/lang_violet.html
80,80,said she,; ,2,data/lang_violet.html
81,81,then turning to Elsa she added,: ,6,data/lang_violet.html
82,82,I am so glad you did not run away with the other children,. ,13,data/lang_violet.html
83,83,Stay here with me and be my friend,", ",8,data/lang_violet.html
84,84,and we will play delightful games together,", ",7,data/lang_violet.html
85,85,and every day we will go and gather strawberries,. ,9,data/lang_violet.html
86,86,Nobody will dare to beat you if I tell them not,. ,11,data/lang_violet.html
87,87,Come,", ",1,data/lang_violet.html
88,88,let us go to my mother',; ,6,data/lang_violet.html
89,89,and taking Elsa's hand she led her deeper into the wood,", ",11,data/lang_violet.html
90,90,the little black dog jumping up beside them and barking with pleasure,. ,12,data/lang_violet.html
91,91,Oh,! ,1,data/lang_violet.html
92,92,what wonders and splendours unfolded themselves before Elsa's astonished eyes,! ,10,data/lang_violet.html
93,93,She thought she really must be in Heaven,. ,8,data/lang_violet.html
94,94,Fruit trees and bushes loaded with fruit stood before them,", ",10,data/lang_violet.html
95,95,while birds gayer than the brightest butterfly sat in their branches and filled the air with their song,. ,18,data/lang_violet.html
96,96,And the birds were not shy,", ",6,data/lang_violet.html
97,97,but let the girls take them in their hands,", ",9,data/lang_violet.html
98,98,and stroke their gold and silver feathers,. ,7,data/lang_violet.html
99,99,In the centre of the garden was the dwelling-house,", ",9,data/lang_violet.html
100,100,shining with glass and precious stones,", ",6,data/lang_violet.html
101,101,and in the doorway sat a woman in rich garments,", ",10,data/lang_violet.html
102,102,who turned to Elsa's companion and asked,: ,7,data/lang_violet.html
103,103,What sort of a guest are you bringing to me,?,10,data/lang_violet.html
104,104,I found her alone in the wood,",",7,data/lang_violet.html
105,105,replied her daughter,", ",3,data/lang_violet.html
106,106,and brought her back with me for a companion,. ,9,data/lang_violet.html
107,107,You will let her stay,?,5,data/lang_violet.html
108,108,The mother laughed,", ",3,data/lang_violet.html
109,109,but said nothing,", ",3,data/lang_violet.html
110,110,only she looked Elsa up and down sharply,. ,8,data/lang_violet.html
111,111,Then she told the girl to come near,", ",8,data/lang_violet.html
112,112,and stroked her cheeks and spoke kindly to her,", ",9,data/lang_violet.html
113,113,asking if her parents were alive,", ",6,data/lang_violet.html
114,114,and if she really would like to stay with them,. ,10,data/lang_violet.html
115,115,Elsa stooped and kissed her hand,", ",6,data/lang_violet.html
116,116,then,", ",1,data/lang_violet.html
117,117,kneeling down,", ",2,data/lang_violet.html
118,118,buried her face in the woman's lap,", ",7,data/lang_violet.html
119,119,and sobbed out,: ,3,data/lang_violet.html
120,120,My mother has lain for many years under the ground,. ,10,data/lang_violet.html
121,121,My father is still alive,", ",5,data/lang_violet.html
122,122,but I am nothing to him,", ",6,data/lang_violet.html
123,123,and my stepmother beats me all the day long,. ,9,data/lang_violet.html
124,124,I can do nothing right,", ",5,data/lang_violet.html
125,125,so let me,", ",3,data/lang_violet.html
126,126,I pray you,", ",3,data/lang_violet.html
127,127,stay with you,. ,3,data/lang_violet.html
128,128,I will look after the flocks or do any work you tell me,; ,13,data/lang_violet.html
129,129,I will obey your lightest word,; ,6,data/lang_violet.html
130,130,only do not,", ",3,data/lang_violet.html
131,131,I entreat you,", ",3,data/lang_violet.html
132,132,send me back to her,. ,5,data/lang_violet.html
133,133,She will half kill me for not having come back with the other children,.,14,data/lang_violet.html
134,134,And the woman smiled and answered,", ",6,data/lang_violet.html
135,135,Well,", ",1,data/lang_violet.html
136,136,we will see what we can do with you,",",9,data/lang_violet.html
137,137,and,", ",1,data/lang_violet.html
138,138,rising,", ",1,data/lang_violet.html
139,139,went into the house,. ,4,data/lang_violet.html
140,140,Then the daughter said to Elsa,", ",6,data/lang_violet.html
141,141,Fear nothing,", ",2,data/lang_violet.html
142,142,my mother will be your friend,. ,6,data/lang_violet.html
143,143,I saw by the way she looked that she would grant your request when she had thought over it,",",19,data/lang_violet.html
144,144,and,", ",1,data/lang_violet.html
145,145,telling Elsa to wait,", ",4,data/lang_violet.html
146,146,she entered the house to seek her mother,. ,8,data/lang_violet.html
147,147,Elsa meanwhile was tossed about between hope and fear,", ",9,data/lang_violet.html
148,148,and felt as if the girl would never come,. ,9,data/lang_violet.html
149,149,At last Elsa saw her crossing the grass with a box in her hand,. ,14,data/lang_violet.html
150,150,My mother says we may play together to-day,", ",8,data/lang_violet.html
151,151,as she wants to make up her mind what to do about you,. ,13,data/lang_violet.html
152,152,But I hope you will stay here always,", ",8,data/lang_violet.html
153,153,as I can't bear you to go away,. ,8,data/lang_violet.html
154,154,Have you ever been on the sea,?,7,data/lang_violet.html
155,155,The sea,?,2,data/lang_violet.html
156,156,asked Elsa,", ",2,data/lang_violet.html
157,157,staring,; ,1,data/lang_violet.html
158,158,what is that,? ,3,data/lang_violet.html
159,159,I've never heard of such a thing,!,7,data/lang_violet.html
160,160,Oh,", ",1,data/lang_violet.html
161,161,I'll soon show you,",",4,data/lang_violet.html
162,162,answered the girl,", ",3,data/lang_violet.html
163,163,taking the lid from the box,", ",6,data/lang_violet.html
164,164,and at the very bottom lay a scrap of a cloak,", ",11,data/lang_violet.html
165,165,a mussel shell,", ",3,data/lang_violet.html
166,166,and two fish scales,. ,4,data/lang_violet.html
167,167,Two drops of water were glistening on the cloak,", ",9,data/lang_violet.html
168,168,and these the girl shook on the ground,. ,8,data/lang_violet.html
169,169,In an instant the garden and lawn and everything else had vanished utterly,", ",13,data/lang_violet.html
170,170,as if the earth had opened and swallowed them up,", ",10,data/lang_violet.html
171,171,and as far as the eye could reach you could see nothing but water,", ",14,data/lang_violet.html
172,172,which seemed at last to touch heaven itself,. ,8,data/lang_violet.html
173,173,Only under their feet was a tiny dry spot,. ,9,data/lang_violet.html
174,174,Then the girl placed the mussel shell on the water and took the fish scales in her hand,. ,18,data/lang_violet.html
175,175,The mussel shell grew bigger and bigger,", ",7,data/lang_violet.html
176,176,and turned into a pretty little boat,", ",7,data/lang_violet.html
177,177,which would have held a dozen children,. ,7,data/lang_violet.html
178,178,The girls stepped in,", ",4,data/lang_violet.html
179,179,Elsa very cautiously,", ",3,data/lang_violet.html
180,180,for which she was much laughed at by her friend,", ",10,data/lang_violet.html
181,181,who used the fish scales for a rudder,. ,8,data/lang_violet.html
182,182,The waves rocked the girls softly,", ",6,data/lang_violet.html
183,183,as if they were lying in a cradle,", ",8,data/lang_violet.html
184,184,and they floated on till they met other boats filled with men,", ",12,data/lang_violet.html
185,185,singing and making merry,. ,4,data/lang_violet.html
186,186,We must sing you a song in return,",",8,data/lang_violet.html
187,187,said the girl,", ",3,data/lang_violet.html
188,188,but as Elsa did not know any songs,", ",8,data/lang_violet.html
189,189,she had to sing by herself,. ,6,data/lang_violet.html
190,190,Elsa could not understand any of the men's songs,", ",9,data/lang_violet.html
191,191,but one word,", ",3,data/lang_violet.html
192,192,she noticed,", ",2,data/lang_violet.html
193,193,came over and over again,", ",5,data/lang_violet.html
194,194,and that was 'Kisika,.,4,data/lang_violet.html
195,195,Elsa asked what it meant,", ",5,data/lang_violet.html
196,196,and the girl replied that it was her name,. ,9,data/lang_violet.html
197,197,It was all so pleasant that they might have stayed there for ever had not a voice cried out to them,", ",21,data/lang_violet.html
198,198,Children,", ",1,data/lang_violet.html
199,199,it is time for you to come home,!,8,data/lang_violet.html
200,200,So Kisika took the little box out of her pocket,", ",10,data/lang_violet.html
201,201,with the piece of cloth lying in it,", ",8,data/lang_violet.html
202,202,and dipped the cloth in the water,", ",7,data/lang_violet.html
203,203,and lo,! ,2,data/lang_violet.html
204,204,they were standing close to a splendid house in the middle of the garden,. ,14,data/lang_violet.html
205,205,Everything round them was dry and firm,", ",7,data/lang_violet.html
206,206,and there was no water anywhere,. ,6,data/lang_violet.html
207,207,The mussel shell and the fish scales were put back in the box,", ",13,data/lang_violet.html
208,208,and the girls went in,. ,5,data/lang_violet.html
209,209,They entered a large hall,", ",5,data/lang_violet.html
210,210,where four and twenty richly dressed women were sitting round a table,", ",12,data/lang_violet.html
211,211,looking as if they were about to attend a wedding,. ,10,data/lang_violet.html
212,212,At the head of the table sat the lady of the house in a golden chair,. ,16,data/lang_violet.html
213,213,Elsa did not know which way to look,", ",8,data/lang_violet.html
214,214,for everything that met her eyes was more beautiful than she could have dreamed possible,. ,15,data/lang_violet.html
215,215,But she sat down with the rest,", ",7,data/lang_violet.html
216,216,and ate some delicious fruit,", ",5,data/lang_violet.html
217,217,and thought she must be in heaven,. ,7,data/lang_violet.html
218,218,The guests talked softly,", ",4,data/lang_violet.html
219,219,but their speech was strange to Elsa,", ",7,data/lang_violet.html
220,220,and she understood nothing of what was said,. ,8,data/lang_violet.html
221,221,Then the hostess turned round and whispered something to a maid behind her chair,", ",14,data/lang_violet.html
222,222,and the maid left the hall,", ",6,data/lang_violet.html
223,223,and when she came back she brought a little old man with her,", ",13,data/lang_violet.html
224,224,who had a beard longer than himself,. ,7,data/lang_violet.html
225,225,He bowed low to the lady and then stood quietly near the door,. ,13,data/lang_violet.html
226,226,Do you see this girl,?,5,data/lang_violet.html
227,227,said the lady of the house,", ",6,data/lang_violet.html
228,228,pointing to Elsa,. ,3,data/lang_violet.html
229,229,I wish to adopt her for my daughter,. ,8,data/lang_violet.html
230,230,Make me a copy of her,", ",6,data/lang_violet.html
231,231,which we can send to her native village instead of herself,.,11,data/lang_violet.html
232,232,The old man looked Elsa all up and down,", ",9,data/lang_violet.html
233,233,as if he was taking her measure,", ",7,data/lang_violet.html
234,234,bowed again to the lady,", ",5,data/lang_violet.html
235,235,and left the hall,. ,4,data/lang_violet.html
236,236,After dinner the lady said kindly to Elsa,", ",8,data/lang_violet.html
237,237,Kisika has begged me to let you stay with her,", ",10,data/lang_violet.html
238,238,and you have told her you would like to live here,. ,11,data/lang_violet.html
239,239,Is that so,?,3,data/lang_violet.html
240,240,At these words Elsa fell on her knees,", ",8,data/lang_violet.html
241,241,and kissed the lady's hands and feet in gratitude for her escape from her cruel stepmother,; ,16,data/lang_violet.html
242,242,but her hostess raised her from the ground and patted her head,", ",12,data/lang_violet.html
243,243,saying,", ",1,data/lang_violet.html
244,244,All will go well as long as you are a good,", ",11,data/lang_violet.html
245,245,obedient child,", ",2,data/lang_violet.html
246,246,and I will take care of you and see that you want for nothing till you are grown up and can look after yourself,. ,24,data/lang_violet.html
247,247,My waiting-maid,", ",2,data/lang_violet.html
248,248,who teaches Kisika all sorts of fine handiwork,", ",8,data/lang_violet.html
249,249,shall teach you too,.,4,data/lang_violet.html
250,250,Not long after the old man came back with a mould full of clay on his shoulders,", ",17,data/lang_violet.html
251,251,and a little covered basket in his left hand,. ,9,data/lang_violet.html
252,252,He put down his mould and his basket on the ground,", ",11,data/lang_violet.html
253,253,took up a handful of clay,", ",6,data/lang_violet.html
254,254,and made a doll as large as life,. ,8,data/lang_violet.html
255,255,When it was finished he bored a hole in the doll's breast and put a bit of bread inside,; ,19,data/lang_violet.html
256,256,then,", ",1,data/lang_violet.html
257,257,drawing a snake out of the basket,", ",7,data/lang_violet.html
258,258,forced it to enter the hollow body,. ,7,data/lang_violet.html
259,259,Now,",",1,data/lang_violet.html
260,260,he said to the lady,", ",5,data/lang_violet.html
261,261,all we want is a drop of the maiden's blood,.,10,data/lang_violet.html
262,262,When she heard this Elsa grew white with horror,", ",9,data/lang_violet.html
263,263,for she thought she was selling her soul to the evil one,. ,12,data/lang_violet.html
264,264,Do not be afraid,!,4,data/lang_violet.html
265,265,the lady hastened to say,; ,5,data/lang_violet.html
266,266,we do not want your blood for any bad purpose,", ",10,data/lang_violet.html
267,267,but rather to give you freedom and happiness,.,8,data/lang_violet.html
268,268,Then she took a tiny golden needle,", ",7,data/lang_violet.html
269,269,pricked Elsa in the arm,", ",5,data/lang_violet.html
270,270,and gave the needle to the old man,", ",8,data/lang_violet.html
271,271,who stuck it into the heart of the doll,. ,9,data/lang_violet.html
272,272,When this was done he placed the figure in the basket,", ",11,data/lang_violet.html
273,273,promising that the next day they should all see what a beautiful piece of work he had finished,. ,18,data/lang_violet.html
274,274,When Elsa awoke the next morning in her silken bed,", ",10,data/lang_violet.html
275,275,with its soft white pillows,", ",5,data/lang_violet.html
276,276,she saw a beautiful dress lying over the back of a chair,", ",12,data/lang_violet.html
277,277,ready for her to put on,. ,6,data/lang_violet.html
278,278,A maid came in to comb out her long hair,", ",10,data/lang_violet.html
279,279,and brought the finest linen for her use,; ,8,data/lang_violet.html
280,280,but nothing gave Elsa so much joy as the little pair of embroidered shoes that she held in her hand,", ",20,data/lang_violet.html
281,281,for the girl had hitherto been forced to run about barefoot by her cruel stepmother,. ,15,data/lang_violet.html
282,282,In her excitement she never gave a thought to the rough clothes she had worn the day before,", ",18,data/lang_violet.html
283,283,which had disappeared as if by magic during the night,. ,10,data/lang_violet.html
284,284,Who could have taken them,? ,5,data/lang_violet.html
285,285,Well,", ",1,data/lang_violet.html
286,286,she was to know that by-and-by,. ,6,data/lang_violet.html
287,287,But WE can guess that the doll had been dressed in them,", ",12,data/lang_violet.html
288,288,which was to go back to the village in her stead,. ,11,data/lang_violet.html
289,289,By the time the sun rose the doll had attained her full size,", ",13,data/lang_violet.html
290,290,and no one could have told one girl from the other,. ,11,data/lang_violet.html
291,291,Elsa started back when she met herself as she looked only yesterday,. ,12,data/lang_violet.html
292,292,You must not be frightened,",",5,data/lang_violet.html
293,293,said the lady,", ",3,data/lang_violet.html
294,294,when she noticed her terror,; ,5,data/lang_violet.html
295,295,this clay figure can do you no harm,. ,8,data/lang_violet.html
296,296,It is for your stepmother,", ",5,data/lang_violet.html
297,297,that she may beat it instead of you,. ,8,data/lang_violet.html
298,298,Let her flog it as hard as she will,", ",9,data/lang_violet.html
299,299,it can never feel any pain,. ,6,data/lang_violet.html
300,300,And if the wicked woman does not come one day to a better mind your double will be able at last to give her the punishment she deserves,.,28,data/lang_violet.html
301,301,From this moment Elsa's life was that of the ordinary happy child,", ",12,data/lang_violet.html
302,302,who has been rocked to sleep in her babyhood in a lovely golden cradle,. ,14,data/lang_violet.html
303,303,She had no cares or troubles of any sort,", ",9,data/lang_violet.html
304,304,and every day her tasks became easier,", ",7,data/lang_violet.html
305,305,and the years that had gone before seemed more and more like a bad dream,. ,15,data/lang_violet.html
306,306,But the happier she grew the deeper was her wonder at everything around her,", ",14,data/lang_violet.html
307,307,and the more firmly she was persuaded that some great unknown power must be at the bottom of it all,. ,20,data/lang_violet.html
308,308,In the courtyard stood a huge granite block about twenty steps from the house,", ",14,data/lang_violet.html
309,309,and when meal times came round the old man with the long beard went to the block,", ",17,data/lang_violet.html
310,310,drew out a small silver staff,", ",6,data/lang_violet.html
311,311,and struck the stone with it three times,", ",8,data/lang_violet.html
312,312,so that the sound could be heard a long way off,. ,11,data/lang_violet.html
313,313,At the third blow,", ",4,data/lang_violet.html
314,314,out sprang a large golden cock,", ",6,data/lang_violet.html
315,315,and stood upon the stone,. ,5,data/lang_violet.html
316,316,Whenever he crowed and flapped his wings the rock opened and something came out of it,. ,16,data/lang_violet.html
317,317,First a long table covered with dishes ready laid for the number of persons who would be seated round it,", ",20,data/lang_violet.html
318,318,and this flew into the house all by itself,. ,9,data/lang_violet.html
319,319,When the cock crowed for the second time,", ",8,data/lang_violet.html
320,320,a number of chairs appeared,", ",5,data/lang_violet.html
321,321,and flew after the table,; ,5,data/lang_violet.html
322,322,then wine,", ",2,data/lang_violet.html
323,323,apples,", ",1,data/lang_violet.html
324,324,and other fruit,", ",3,data/lang_violet.html
325,325,all without trouble to anybody,. ,5,data/lang_violet.html
326,326,After everybody had had enough,", ",5,data/lang_violet.html
327,327,the old man struck the rock again,. ,7,data/lang_violet.html
328,328,The golden cock crowed afresh,", ",5,data/lang_violet.html
329,329,and back went dishes,", ",4,data/lang_violet.html
330,330,table,", ",1,data/lang_violet.html
331,331,chairs,", ",1,data/lang_violet.html
332,332,and plates into the middle of the block,. ,8,data/lang_violet.html
333,333,When,", ",1,data/lang_violet.html
334,334,however,", ",1,data/lang_violet.html
335,335,it came to the turn of the thirteenth dish,", ",9,data/lang_violet.html
336,336,which nobody ever wanted to eat,", ",6,data/lang_violet.html
337,337,a huge black cat ran up,", ",6,data/lang_violet.html
338,338,and stood on the rock close to the cock,", ",9,data/lang_violet.html
339,339,while the dish was on his other side,. ,8,data/lang_violet.html
340,340,There they all remained,", ",4,data/lang_violet.html
341,341,till they were joined by the old man,. ,8,data/lang_violet.html
342,342,He picked up the dish in one hand,", ",8,data/lang_violet.html
343,343,tucked the cat under his arm,", ",6,data/lang_violet.html
344,344,told the cock to get on his shoulder,", ",8,data/lang_violet.html
345,345,and all four vanished into the rock,. ,7,data/lang_violet.html
346,346,And this wonderful stone contained not only food,", ",8,data/lang_violet.html
347,347,but clothes and everything you could possibly want in the house,. ,11,data/lang_violet.html
348,348,At first a language was often spoken at meals which was strange to Elsa,", ",14,data/lang_violet.html
349,349,but by the help of the lady and her daughter she began slowly to understand it,", ",16,data/lang_violet.html
350,350,though it was years before she was able to speak it herself,. ,12,data/lang_violet.html
351,351,One day she asked Kisika why the thirteenth dish came daily to the table and was sent daily away untouched,", ",20,data/lang_violet.html
352,352,but Kisika knew no more about it than she did,. ,10,data/lang_violet.html
353,353,The girl must,", ",3,data/lang_violet.html
354,354,however,", ",1,data/lang_violet.html
355,355,have told her mother what Elsa had said,", ",8,data/lang_violet.html
356,356,for a few days later she spoke to Elsa seriously,: ,10,data/lang_violet.html
357,357,Do not worry yourself with useless wondering,. ,7,data/lang_violet.html
358,358,You wish to know why we never eat of the thirteenth dish,? ,12,data/lang_violet.html
359,359,That,", ",1,data/lang_violet.html
360,360,dear child,", ",2,data/lang_violet.html
361,361,is the dish of hidden blessings,", ",6,data/lang_violet.html
362,362,and we cannot taste of it without bringing our happy life here to an end,. ,15,data/lang_violet.html
363,363,And the world would be a great deal better if men,", ",11,data/lang_violet.html
364,364,in their greed,", ",3,data/lang_violet.html
365,365,did not seek to snatch every thing for themselves,", ",9,data/lang_violet.html
366,366,instead of leaving something as a thankoffering to the giver of the blessings,. ,13,data/lang_violet.html
367,367,Greed is man's worst fault,.,5,data/lang_violet.html
368,368,The years passed like the wind for Elsa,", ",8,data/lang_violet.html
369,369,and she grew into a lovely woman,", ",7,data/lang_violet.html
370,370,with a knowledge of many things that she would never have learned in her native village,; ,16,data/lang_violet.html
371,371,but Kisika was still the same young girl that she had been on the day of her first meeting with Elsa,. ,21,data/lang_violet.html
372,372,Each morning they both worked for an hour at reading and writing,", ",12,data/lang_violet.html
373,373,as they had always done,", ",5,data/lang_violet.html
374,374,and Elsa was anxious to learn all she could,", ",9,data/lang_violet.html
375,375,but Kisika much preferred childish games to anything else,. ,9,data/lang_violet.html
376,376,If the humour seized her,", ",5,data/lang_violet.html
377,377,she would fling aside her tasks,", ",6,data/lang_violet.html
378,378,take her treasure box,", ",4,data/lang_violet.html
379,379,and go off to play in the sea,", ",8,data/lang_violet.html
380,380,where no harm ever came to her,. ,7,data/lang_violet.html
381,381,What a pity,",",3,data/lang_violet.html
382,382,she would often say to Elsa,", ",6,data/lang_violet.html
383,383,that you have grown so big,", ",6,data/lang_violet.html
384,384,you cannot play with me any more,.,7,data/lang_violet.html
385,385,Nine years slipped away in this manner,", ",7,data/lang_violet.html
386,386,when one day the lady called Elsa into her room,. ,10,data/lang_violet.html
387,387,Elsa was surprised at the summons,", ",6,data/lang_violet.html
388,388,for it was unusual,", ",4,data/lang_violet.html
389,389,and her heart sank,", ",4,data/lang_violet.html
390,390,for she feared some evil threatened her,. ,7,data/lang_violet.html
391,391,As she crossed the threshold,", ",5,data/lang_violet.html
392,392,she saw that the lady's cheeks were flushed,", ",8,data/lang_violet.html
393,393,and her eyes full of tears,", ",6,data/lang_violet.html
394,394,which she dried hastily,", ",4,data/lang_violet.html
395,395,as if she would conceal them from the girl,. ,9,data/lang_violet.html
396,396,Dearest child,",",2,data/lang_violet.html
397,397,she began,", ",2,data/lang_violet.html
398,398,the time has come when we must part,.,8,data/lang_violet.html
399,399,Part,?,1,data/lang_violet.html
400,400,cried Elsa,", ",2,data/lang_violet.html
401,401,burying her head in the lady's lap,. ,7,data/lang_violet.html
402,402,No,", ",1,data/lang_violet.html
403,403,dear lady,", ",2,data/lang_violet.html
404,404,that can never be till death parts us,. ,8,data/lang_violet.html
405,405,You once opened your arms to me,; ,7,data/lang_violet.html
406,406,you cannot thrust me away now,.,6,data/lang_violet.html
407,407,Ah,", ",1,data/lang_violet.html
408,408,be quiet,", ",2,data/lang_violet.html
409,409,child,",",1,data/lang_violet.html
410,410,replied the lady,; ,3,data/lang_violet.html
411,411,you do not know what I would do to make you happy,. ,12,data/lang_violet.html
412,412,Now you are a woman,", ",5,data/lang_violet.html
413,413,and I have no right to keep you here,. ,9,data/lang_violet.html
414,414,You must return to the world of men,", ",8,data/lang_violet.html
415,415,where joy awaits you,.,4,data/lang_violet.html
416,416,Dear lady,",",2,data/lang_violet.html
417,417,entreated Elsa again,. ,3,data/lang_violet.html
418,418,Do not,", ",2,data/lang_violet.html
419,419,I beseech you,", ",3,data/lang_violet.html
420,420,send me from you,. ,4,data/lang_violet.html
421,421,I want no other happiness but to live and die beside you,. ,12,data/lang_violet.html
422,422,Make me your waiting maid,", ",5,data/lang_violet.html
423,423,or set me to any work you choose,", ",8,data/lang_violet.html
424,424,but do not cast me forth into the world,. ,9,data/lang_violet.html
425,425,It would have been better if you had left me with my stepmother,", ",13,data/lang_violet.html
426,426,than first to have brought me to heaven and then send me back to a worse place,.,17,data/lang_violet.html
427,427,Do not talk like that,", ",5,data/lang_violet.html
428,428,dear child,",",2,data/lang_violet.html
429,429,replied the lady,; ,3,data/lang_violet.html
430,430,you do not know all that must be done to secure your happiness,", ",13,data/lang_violet.html
431,431,however much it costs me,. ,5,data/lang_violet.html
432,432,But it has to be,. ,5,data/lang_violet.html
433,433,You are only a common mortal,", ",6,data/lang_violet.html
434,434,who will have to die one day,", ",7,data/lang_violet.html
435,435,and you cannot stay here any longer,. ,7,data/lang_violet.html
436,436,Though we have the bodies of men,", ",7,data/lang_violet.html
437,437,we are not men at all,", ",6,data/lang_violet.html
438,438,though it is not easy for you to understand why,. ,10,data/lang_violet.html
439,439,Some day or other you will find a husband who has been made expressly for you,", ",16,data/lang_violet.html
440,440,and will live happily with him till death separates you,. ,10,data/lang_violet.html
441,441,It will be very hard for me to part from you,", ",11,data/lang_violet.html
