stanza_num,line_num,line_txt,linepart_num,parse_rank,parse_txt,parse_meter,parse_stress,sent_num,sentpart_num,wordtoken_num,wordtoken_txt,meterpos_num,meterslot_num,meterslot_txt,parse_score,parse_num_viols,parse_ambig,parse_is_bounded,meterpos_meter_val,*w_stress,*s_unstress,*unres_within,*unres_across,*w_peak
1,1,the dog went to the dog school,1,3,the DOG went TO the DOG school,-+-+-+-,-++--++,1,1,7, school,7,1,school,3.0,3,4,0,w,1,0,0,0,0
1,1,the dog went to the dog school,1,4,THE dog WENT to.the DOG school,+-+--+-,-++--++,1,1,1,the,1,1,THE,3.0,3,4,0,s,0,1,0,0,0
1,1,the dog went to the dog school,1,4,THE dog WENT to.the DOG school,+-+--+-,-++--++,1,1,2, dog,2,1,dog,3.0,3,4,0,w,1,0,0,0,0
1,1,the dog went to the dog school,1,4,THE dog WENT to.the DOG school,+-+--+-,-++--++,1,1,3, went,3,1,WENT,3.0,3,4,0,s,0,0,0,0,0
1,1,the dog went to the dog school,1,4,THE dog WENT to.the DOG school,+-+--+-,-++--++,1,1,4, to,4,1,to,3.0,3,4,0,w,0,0,0,0,0
1,1,the dog went to the dog school,1,4,THE dog WENT to.the DOG school,+-+--+-,-++--++,1,1,5, the,4,2,the,3.0,3,4,0,w,0,0,0,0,0
1,1,the dog went to the dog school,1,4,THE dog WENT to.the DOG school,+-+--+-,-++--++,1,1,6, dog,5,1,DOG,3.0,3,4,0,s,0,0,0,0,0
1,1,the dog went to the dog school,1,4,THE dog WENT to.the DOG school,+-+--+-,-++--++,1,1,7, school,6,1,school,3.0,3,4,0,w,1,0,0,0,0
1,2,the dog had a good time,2,1,the DOG had A good TIME,-+-+-+,-+---+,1,1,8,"
the",1,1,the,1.0,1,4,0,w,0,0,0,0,0
1,2,the dog had a good time,2,1,the DOG had A good TIME,-+-+-+,-+---+,1,1,9, dog,2,1,DOG,1.0,1,4,0,s,0,0,0,0,0
1,2,the dog had a good time,2,1,the DOG had A good TIME,-+-+-+,-+---+,1,1,10, had,3,1,had,1.0,1,4,0,w,0,0,0,0,0
1,2,the dog had a good time,2,1,the DOG had A good TIME,-+-+-+,-+---+,1,1,11, a,4,1,A,1.0,1,4,0,s,0,1,0,0,0
1,2,the dog had a good time,2,1,the DOG had A good TIME,-+-+-+,-+---+,1,1,12, good,5,1,good,1.0,1,4,0,w,0,0,0,0,0
1,2,the dog had a good time,2,1,the DOG had A good TIME,-+-+-+,-+---+,1,1,13, time,6,1,TIME,1.0,1,4,0,s,0,0,0,0,0
1,2,the dog had a good time,2,2,the DOG had.a GOOD time,-+--+-,-+--++,1,1,8,"
the",1,1,the,1.0,1,4,0,w,0,0,0,0,0
1,2,the dog had a good time,2,2,the DOG had.a GOOD time,-+--+-,-+--++,1,1,9, dog,2,1,DOG,1.0,1,4,0,s,0,0,0,0,0
1,2,the dog had a good time,2,2,the DOG had.a GOOD time,-+--+-,-+--++,1,1,10, had,3,1,had,1.0,1,4,0,w,0,0,0,0,0
1,2,the dog had a good time,2,2,the DOG had.a GOOD time,-+--+-,-+--++,1,1,11, a,3,2,a,1.0,1,4,0,w,0,0,0,0,0
1,2,the dog had a good time,2,2,the DOG had.a GOOD time,-+--+-,-+--++,1,1,12, good,4,1,GOOD,1.0,1,4,0,s,0,0,0,0,0
1,2,the dog had a good time,2,2,the DOG had.a GOOD time,-+--+-,-+--++,1,1,13, time,5,1,time,1.0,1,4,0,w,1,0,0,0,0
1,2,the dog had a good time,2,3,the DOG had.a GOOD.TIME,-+--++,-+--++,1,1,8,"
the",1,1,the,1.0,1,4,0,w,0,0,0,0,0
1,2,the dog had a good time,2,3,the DOG had.a GOOD.TIME,-+--++,-+--++,1,1,9, dog,2,1,DOG,1.0,1,4,0,s,0,0,0,0,0
1,2,the dog had a good time,2,3,the DOG had.a GOOD.TIME,-+--++,-+--++,1,1,10, had,3,1,had,1.0,1,4,0,w,0,0,0,0,0
1,2,the dog had a good time,2,3,the DOG had.a GOOD.TIME,-+--++,-+--++,1,1,11, a,3,2,a,1.0,1,4,0,w,0,0,0,0,0
1,2,the dog had a good time,2,3,the DOG had.a GOOD.TIME,-+--++,-+--++,1,1,12, good,4,1,GOOD,1.0,1,4,0,s,0,0,0,0,0
1,2,the dog had a good time,2,3,the DOG had.a GOOD.TIME,-+--++,-+--++,1,1,13, time,4,2,TIME,1.0,1,4,0,s,0,0,0,1,0
1,2,the dog had a good time,2,4,the DOG.HAD a.good TIME,-++--+,-++--+,1,1,8,"
the",1,1,the,1.0,1,4,0,w,0,0,0,0,0
1,2,the dog had a good time,2,4,the DOG.HAD a.good TIME,-++--+,-++--+,1,1,9, dog,2,1,DOG,1.0,1,4,0,s,0,0,0,0,0
1,2,the dog had a good time,2,4,the DOG.HAD a.good TIME,-++--+,-++--+,1,1,10, had,2,2,HAD,1.0,1,4,0,s,0,0,0,1,0
1,2,the dog had a good time,2,4,the DOG.HAD a.good TIME,-++--+,-++--+,1,1,11, a,3,1,a,1.0,1,4,0,w,0,0,0,0,0
1,2,the dog had a good time,2,4,the DOG.HAD a.good TIME,-++--+,-++--+,1,1,12, good,3,2,good,1.0,1,4,0,w,0,0,0,0,0
1,2,the dog had a good time,2,4,the DOG.HAD a.good TIME,-++--+,-++--+,1,1,13, time,4,1,TIME,1.0,1,4,0,s,0,0,0,0,0
